incidentTitle,incidentSummary,coord_crs,coord_x,coord_y,incidentType
"Vietnam","Gooood morning Vietnam","EPSG:3856","32.6754","33.6754","ELECTRICITY"
"Trump","Insider trading!","EPSG:3856","34.656","35.656","ACCIDENT"
"Death","Right now you can save 50 pounds per person","EPSG:3856","45.77","46.77","WATER"
"Gun","A killng machine","EPSG:3856","65.54","66.54","ELECTRICITY"
"quachau","body count?","EPSG:3856","34.557","35.557","ACCIDENT"
"Sex","Attack helicopter","EPSG:3856","33.6754","34.6754","WATER"
"Bed","I am just bad, I am bad","EPSG:3856","35.656","36.656","ELECTRICITY"
"Ice cream","cream with eyes obviously","EPSG:3856","46.77","47.77","ACCIDENT"
"Child","Small person, hobbit","EPSG:3856","66.54","67.54","WATER"
"Mother","Father, that washes the dishes","EPSG:3856","35.557","36.557","ELECTRICITY"
"Court","Cobain. What have you done?","EPSG:3856","34.6754","35.6754","ACCIDENT"
"Aliments","Where is mine 50 pounds per person? To go on a holiday","EPSG:3856","36.656","37.656","WATER"
"Ai","Ai, artificial intelligence","EPSG:3856","47.77","48.77","ELECTRICITY"
"Slop","Please stop the enslopification, big brother is not watching","EPSG:3856","67.54","68.54","ACCIDENT"
"Judge",judge me mister law person,"EPSG:3856",36.557,37.557,"WATER"
"Criminal","Mama imma criminal, I kissed a boy and I liked iit","EPSG:3856","35.6754","36.6754","ELECTRICITY"
"Papa","church person. THE DAD","EPSG:3856","37.656","38.656","ACCIDENT"
"Eleven","nine ten eleven twelve. Thirteen minus 2? Ten","EPSG:3856","48.77","49.77","WATER"
"BTS","The kpop machine. It came to my house, I cannot stop singing","EPSG:3856","68.54","69.54","ELECTRICITY"
"Polibuda","Poli poli poli buuuuda","EPSG:3856","37.557","38.557","ACCIDENT"
"Police","It s the sound of police, uah uah","EPSG:3856","36.6754","37.6754","WATER"
"Nurse","Nurse attacked me while I was in a hospital, please help me","EPSG:3856","38.656","39.656","ELECTRICITY"
"Fire","Fire, slay, somebody ate, I just cannot","EPSG:3856","49.77","50.77","ACCIDENT"
"Arson","Another one bite the dust and ACCIDENTly set the fire to my home","EPSG:3856","69.54","70.54","WATER"
